UF;MUNICIPIO;TOTAL;MUNICIPIO_clean;id_municipio;longitude;latitude
BA;IUIÚ                               ;1;IUIÚ;407.0;-43.559547;-14.405424
BA;JACARACI                           ;1;JACARACI;409.0;-42.432878;-14.85409
BA;JACOBINA                           ;26;JACOBINA;410.0;-40.511693;-11.181217
BA;JAGUAQUARA                         ;7;JAGUAQUARA;411.0;-39.964009;-13.524834
BA;JAGUARARI                          ;6;JAGUARARI;412.0;-40.199938;-10.256859
BA;JEQUIRIÇÁ                          ;1;JEQUIRIÇÁ;;;
BA;JEQUIÉ                             ;20;JEQUIÉ;415.0;-40.087704;-13.850888
BA;JIQUIRIÇÁ                          ;1;JIQUIRIÇÁ;417.0;-39.57365;-13.262101
BA;JITAÚNA                            ;1;JITAÚNA;418.0;-39.896892;-14.013085
BA;JOÃO DOURADO                       ;3;JOÃO DOURADO;419.0;-41.654799;-11.348642
BA;JUAZEIRO                           ;95;JUAZEIRO;420.0;-40.503251;-9.416217
BA;JUCURUÇU                           ;1;JUCURUÇU;421.0;-40.164074;-16.848752
BA;LAGOA REAL                         ;2;LAGOA REAL;426.0;-42.132764;-14.033443
BA;LAJE                               ;1;LAJE;427.0;-39.421264;-13.167327
BA;LAPÃO                              ;4;LAPÃO;432.0;-41.828615;-11.385096
BA;LAURO DE FREITAS                   ;51;LAURO DE FREITAS;433.0;-38.321008;-12.8978
BA;LICÍNIO DE ALMEIDA                 ;2;LICÍNIO DE ALMEIDA;435.0;-42.509527;-14.684215
BA;LIVRAMENTO DE NOSSA SENHORA        ;3;LIVRAMENTO DE NOSSA SENHORA;436.0;-41.843187;-13.636868
BA;LUÍS EDUARDO MAGALHÃES             ;18;LUÍS EDUARDO MAGALHÃES;437.0;-45.786555;-12.095638
BA;MACAÚBAS                           ;3;MACAÚBAS;440.0;-42.694515;-13.018601
BA;MACURURÉ                           ;2;MACURURÉ;441.0;-39.051784;-9.162258
BA;MAIQUINIQUE                        ;1;MAIQUINIQUE;444.0;-40.258722;-15.623985
BA;MALHADA                            ;1;MALHADA;446.0;-43.768634;-14.337134
BA;MALHADA DE PEDRAS                  ;1;MALHADA DE PEDRAS;447.0;-41.88422;-14.384673
